week,experiment,experiment_day,site,field_day,species,fac_number,confidence,attacks
1,low_density,5,1,7/1/22,iphiclus,1,N,0
1,low_density,5,1,7/1/22,iphiclus,2,N,0
1,low_density,5,1,7/1/22,iphiclus,3,N,0
1,low_density,5,1,7/1/22,iphiclus,4,N,0
1,low_density,5,1,7/1/22,iphiclus,5,N,0
1,low_density,5,1,7/1/22,iphiclus,6,N,0
1,low_density,5,1,7/1/22,iphiclus,7,N,0
1,low_density,5,1,7/1/22,iphiclus,8,N,0
1,low_density,5,1,7/1/22,iphiclus,9,N,0
1,low_density,5,1,7/1/22,iphiclus,10,N,0
1,low_density,5,1,7/1/22,iphiclus,11,N,0
1,low_density,5,1,7/1/22,iphiclus,12,N,0
1,low_density,5,1,7/1/22,iphiclus,13,N,0
1,low_density,5,1,7/1/22,iphiclus,14,N,0
1,low_density,5,1,7/1/22,iphiclus,15,N,0
1,low_density,5,1,7/1/22,iphiclus,16,N,0
1,low_density,5,1,7/1/22,iphiclus,17,N,0
1,low_density,5,1,7/1/22,iphiclus,18,N,0
1,low_density,5,1,7/1/22,iphiclus,19,N,0
1,low_density,5,1,7/1/22,iphiclus,20,N,0
1,low_density,5,1,7/1/22,serpa,1,N,0
1,low_density,5,1,7/1/22,serpa,2,N,0
1,low_density,5,1,7/1/22,serpa,3,N,0
1,low_density,5,1,7/1/22,serpa,4,N,0
1,low_density,5,1,7/1/22,serpa,5,N,0
1,low_density,5,1,7/1/22,serpa,6,N,0
1,low_density,5,1,7/1/22,serpa,7,N,0
1,low_density,5,1,7/1/22,serpa,8,N,0
1,low_density,5,1,7/1/22,serpa,9,N,0
1,low_density,5,1,7/1/22,serpa,10,N,0
1,low_density,5,1,7/1/22,serpa,11,N,0
1,low_density,5,1,7/1/22,serpa,12,N,0
1,low_density,5,1,7/1/22,serpa,13,N,0
1,low_density,5,1,7/1/22,serpa,14,N,0
1,low_density,5,1,7/1/22,serpa,15,N,0
1,low_density,5,1,7/1/22,serpa,16,N,0
1,low_density,5,1,7/1/22,serpa,17,N,0
1,low_density,5,1,7/1/22,serpa,18,N,0
1,low_density,5,1,7/1/22,serpa,19,N,0
1,low_density,5,1,7/1/22,serpa,20,N,0
1,low_density,5,1,7/1/22,junonia,1,N,0
1,low_density,5,1,7/1/22,junonia,2,N,0
1,low_density,5,1,7/1/22,junonia,3,N,0
1,low_density,5,1,7/1/22,junonia,4,N,0
1,low_density,5,1,7/1/22,junonia,5,N,0
1,low_density,5,1,7/1/22,junonia,6,N,0
1,low_density,5,1,7/1/22,junonia,7,N,0
1,low_density,5,1,7/1/22,junonia,8,N,0
1,low_density,5,1,7/1/22,junonia,9,N,0
1,low_density,5,1,7/1/22,junonia,10,N,0
